2019 Authorized Budget,,,,,March ,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,January,,,,February,,,,March,,,,April,,,,May ,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3783,ASST CITY TRAFFIC E, 	1.00 ,TRAF ENG," 	125,218 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	115,098 ",3136,ASST CITY TRAFFIC E,1.00," 	115,098 ",3136,ASST CITY TRAFFIC E,1.00," 	115,098 ",3136,ASST CITY TRAFFIC E,1," 	115,098 ",3136,ASST CITY TRAFFIC E,1," 	117,400 ",3136,ASST CITY TRAFFIC E,1," 	117,400 ",3136,ASST CITY TRAFFIC E,1," 	117,400 ",3136,ASST CITY TRAFFIC E,1," 	117,400 ",3136,ASST CITY TRAFFIC E,1," 	117,400 ",3136,ASST CITY TRAFFIC E,1," 	118,574 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	118,574 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	118,574 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	118,574 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	118,574 ",3136,ASST CITY TRAFFIC E, 	1.00 ," 	118,574 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,2301,ASST CITY TRAFFIC E,1," 	124,168 ",2301,ASST CITY TRAFFIC E, 	1.00 ," 	128,203 ",2301,ASST CITY TRAFFIC ENGR-18, 	1.00 ," 	128,203 ",2301,ASST CITY TRAFFIC ENGR-18, 	1.00 ," 	128,203 "
3791,CONSTRUCT INSP 2, 	1.00 ,ENGINEERIN," 	75,341 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	69,971 ",2771,CONSTRUCT INSP 2,1.00," 	69,971 ",2771,CONSTRUCT INSP 2,1.00," 	69,971 ",2771,CONSTRUCT INSP 2,1," 	69,971 ",2771,CONSTRUCT INSP 2,1," 	71,371 ",2771,CONSTRUCT INSP 2,1," 	71,371 ",2771,CONSTRUCT INSP 2,1," 	71,371 ",2771,CONSTRUCT INSP 2,1," 	71,371 ",2771,CONSTRUCT INSP 2,1," 	71,371 ",2771,CONSTRUCT INSP 2,1," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	72,084 ",2771,CONSTRUCT INSP 2,1," 	72,084 ",2771,CONSTRUCT INSP 2,1," 	72,084 ",2771,CONSTRUCT INSP 2,1," 	72,084 ",2771,CONSTRUCT INSP 2, 	1.00 ," 	74,427 ",2771,CONSTRUCT INSP 2-15, 	1.00 ," 	74,427 ",2771,CONSTRUCT INSP 2-15, 	1.00 ," 	75,110 "
3796,ENGR FIELD AIDE, 	1.00 ,ENGINEERIN," 	59,968 ",1196,ENGR FIELD AIDE, 	1.00 ," 	50,607 ",1196,ENGR FIELD AIDE,1.00," 	50,607 ",1196,ENGR FIELD AIDE,1.00," 	50,607 ",1196,ENGR FIELD AIDE,1," 	50,607 ",1196,ENGR FIELD AIDE,1," 	53,168 ",1196,ENGR FIELD AIDE,1," 	53,168 ",1196,ENGR FIELD AIDE,1," 	53,168 ",1196,ENGR FIELD AIDE,1," 	55,022 ",1196,ENGR FIELD AIDE,1," 	55,022 ",1196,ENGR FIELD AIDE,1," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE, 	1.00 ," 	55,572 ",1196,ENGR FIELD AIDE,1," 	55,572 ",1196,ENGR FIELD AIDE,1," 	57,858 ",1196,ENGR FIELD AIDE,1," 	57,858 ",1196,ENGR FIELD AIDE, 	1.00 ," 	59,738 ",1196,ENGR FIELD AIDE-15, 	1.00 ," 	59,738 ",1196,ENGR FIELD AIDE-15, 	1.00 ," 	59,738 "
3798,LIBRARY ASST 1, 	1.00 ,LIBRARY," 	54,268 ",2374,LIBRARY ASST 1, 	1.00 ," 	46,303 ",2374,LIBRARY ASST 1,1.00," 	46,303 ",2374,LIBRARY ASST 1,1.00," 	47,951 ",2374,LIBRARY ASST 1,1," 	47,951 ",2374,LIBRARY ASST 1,1," 	48,910 ",2374,LIBRARY ASST 1,1," 	48,910 ",2374,LIBRARY ASST 1,1," 	48,910 ",1482,LIBRARY ASST 1,1," 	51,840 ",1482,LIBRARY ASST 1,1," 	51,840 ",1482,LIBRARY ASST 1,1," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	52,359 ",1482,LIBRARY ASST 1,1," 	52,359 ",1482,LIBRARY ASST 1,1," 	52,359 ",1482,LIBRARY ASST 1,1," 	52,359 ",1482,LIBRARY ASST 1, 	1.00 ," 	54,060 ",1482,LIBRARY ASST 1-32, 	1.00 ," 	54,060 ",1482,LIBRARY ASST 1-32, 	1.00 ," 	54,060 "
3800,GARDENER, 	1.00 ,PARKS," 	52,033 ",VACANT,, 	-   , 	-   ,10406,GARDENER,1.00," 	45,806 ",10406,GARDENER,1.00," 	45,806 ",10406,GARDENER,1," 	45,806 ",10406,GARDENER,1," 	46,722 ",10406,GARDENER,1," 	46,722 ",10406,GARDENER,1," 	46,722 ",10406,GARDENER,1," 	46,722 ",10406,GARDENER,1," 	47,871 ",10406,GARDENER,1," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER, 	1.00 ," 	48,350 ",10406,GARDENER,1," 	48,350 ",10406,GARDENER,1," 	48,350 ",10406,GARDENER,1," 	49,912 ",10406,GARDENER, 	1.00 ," 	51,534 ",10406,GARDENER-16, 	1.00 ," 	51,534 ",10406,GARDENER-16, 	1.00 ," 	51,534 "
3801,HSG SPEC 2, 	1.00 ,CDA HOUSIN," 	57,132 ",7875,HSG ASST CLERK, 	1.00 ," 	46,665 ",7875,HSG ASST CLERK,1.00," 	46,665 ",7875,HSG ASST CLERK,1.00," 	46,665 ",7875,HSG ASST CLERK,1," 	48,268 ",7875,HSG ASST CLERK,1," 	49,233 ",7875,HSG ASST CLERK,1," 	49,233 ",7875,HSG ASST CLERK,1," 	49,233 ",7875,HSG SPEC 2,1," 	49,233 ",7875,HSG SPEC 2,1," 	51,998 ",7875,HSG SPEC 2,1," 	52,518 ",7875,HSG SPEC 2, 	1.00 ," 	52,518 ",7875,HSG SPEC 2, 	1.00 ," 	52,518 ",7875,HSG SPEC 2, 	1.00 ," 	52,518 ",7875,HSG SPEC 2, 	1.00 ," 	52,518 ",7875,HSG SPEC 2, 	1.00 ," 	53,912 ",7875,HSG SPEC 2, 	1.00 ," 	53,912 ",7875,HSG SPEC 2, 	1.00 ," 	53,912 ",7875,HSG SPEC 2, 	1.00 ," 	53,912 ",7875,HSG SPEC 2,1," 	53,912 ",7875,HSG SPEC 2,1," 	53,912 ",7875,HSG SPEC 2,1," 	53,912 ",7875,HSG SPEC 2, 	1.00 ," 	55,664 ",7875,HSG SPEC 2, 	1.00 ," 	55,664 ",7875,HSG SPEC 2, 	1.00 ," 	55,664 "
3802,LIB COMPT SPEC 2, 	1.00 ,LIBRARY," 	76,559 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	71,048 ",2491,LIB COMPT SPEC 2,1.00," 	71,048 ",2491,LIB COMPT SPEC 2,1.00," 	71,048 ",2491,LIB COMPT SPEC 2,1," 	71,048 ",2491,LIB COMPT SPEC 2,1," 	72,469 ",2491,LIB COMPT SPEC 2,1," 	72,469 ",2491,LIB COMPT SPEC 2,1," 	72,469 ",2491,LIB COMPT SPEC 2,1," 	72,469 ",2491,LIB COMPT SPEC 2,1," 	72,469 ",2491,LIB COMPT SPEC 2,1," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	73,193 ",2491,LIB COMPT SPEC 2,1," 	73,193 ",2491,LIB COMPT SPEC 2,1," 	73,193 ",2491,LIB COMPT SPEC 2,1," 	73,193 ",2491,LIB COMPT SPEC 2, 	1.00 ," 	75,572 ",2491,LIB COMPT SPEC 2-33, 	1.00 ," 	75,572 ",2491,LIB COMPT SPEC 2-33, 	1.00 ," 	76,265 "
3804,PUB WKS MAINT WKR 1, 	1.00 ,WATER," 	47,306 ",VACANT,, 	-   , 	-   ,VACANT,, 	-   , 	-   ,10497,PUB WKS MAINT WKR 1,1.00," 	44,304 ",10497,PUB WKS MAINT WKR 1,1," 	44,304 ",10497,PUB WKS MAINT WKR 1,1," 	45,190 ",10497,PUB WKS MAINT WKR 1,1," 	45,190 ",10497,PUB WKS MAINT WKR 1,1," 	45,190 ",10497,PUB WKS MAINT WKR 1,1," 	45,190 ",10497,PUB WKS MAINT WKR 1,1," 	45,190 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,11272,PUB WKS MAINT WKR 1, 	1.00 ," 	45,642 ",11272,PUB WKS MAINT WKR 1, 	1.00 ," 	45,642 ",11272,PUB WKS MAINT WKR 1, 	1.00 ," 	45,642 ",11272,PUB WKS MAINT WKR 1, 	1.00 ," 	45,642 ",11272,PUB WKS MAINT WKR 1,1," 	45,642 ",11272,PUB WKS MAINT WKR 1,1," 	47,189 ",11272,PUB WKS MAINT WKR 1,1," 	47,189 ",11272,PUB WKS MAINT WKR 1, 	1.00 ," 	48,723 ",11272,PUB WKS MAINT WKR 1-16, 	1.00 ," 	48,723 ",11272,PUB WKS MAINT WKR 1-16, 	1.00 ," 	48,723 "
3805,PUB WKS MAINT WKR 1, 	1.00 ,WATER," 	50,318 ",VACANT,, 	-   , 	-   ,VACANT,, 	-   , 	-   ,10498,PUB WKS MAINT WKR 1,1.00," 	44,304 ",10498,PUB WKS MAINT WKR 1,1," 	44,304 ",10498,PUB WKS MAINT WKR 1,1," 	45,190 ",10498,PUB WKS MAINT WKR 1,1," 	45,190 ",10498,PUB WKS MAINT WKR 1,1," 	45,190 ",10498,PUB WKS MAINT WKR 1,1," 	45,190 ",10498,PUB WKS MAINT WKR 1,1," 	45,190 ",10498,PUB WKS MAINT WKR 1,1," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	47,189 ",10498,PUB WKS MAINT WKR 1,1," 	47,189 ",10498,PUB WKS MAINT WKR 1,1," 	47,189 ",10498,PUB WKS MAINT WKR 1,1," 	47,189 ",10498,PUB WKS MAINT WKR 1, 	1.00 ," 	49,921 ",10498,PUB WKS MAINT WKR 1-16, 	1.00 ," 	49,921 ",10498,PUB WKS MAINT WKR 1-16, 	1.00 ," 	49,921 "
3806,PUB WKS MAINT WKR 3, 	1.00 ,WATER," 	62,882 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	58,350 ",1560,PUB WKS MAINT WKR 3,1.00," 	58,350 ",1560,PUB WKS MAINT WKR 3,1.00," 	58,350 ",1560,PUB WKS MAINT WKR 3,1," 	58,350 ",1560,PUB WKS MAINT WKR 3,1," 	59,517 ",1560,PUB WKS MAINT WKR 3,1," 	59,517 ",1560,PUB WKS MAINT WKR 3,1," 	59,517 ",1560,PUB WKS MAINT WKR 3,1," 	59,517 ",1560,PUB WKS MAINT WKR 3,1," 	59,517 ",1560,PUB WKS MAINT WKR 3,1," 	60,113 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,113 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,113 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	60,669 ",1560,PUB WKS MAINT WKR 3,1," 	60,669 ",1560,PUB WKS MAINT WKR 3,1," 	60,669 ",1560,PUB WKS MAINT WKR 3,1," 	60,669 ",1560,PUB WKS MAINT WKR 3, 	1.00 ," 	62,641 ",1560,PUB WKS MAINT WKR 3-16, 	1.00 ," 	62,641 ",1560,PUB WKS MAINT WKR 3-16, 	1.00 ," 	62,641 "
3807,ENGINEER 3, 	1.00 ,WATER," 	87,267 ",1987,ENGINEER 3, 	1.00 ," 	80,737 ",1987,ENGINEER 3,1.00," 	80,737 ",1987,ENGINEER 3,1.00," 	80,737 ",1987,ENGINEER 3,1," 	80,737 ",1987,ENGINEER 3,1," 	82,352 ",1987,ENGINEER 3,1," 	82,352 ",1987,ENGINEER 3,1," 	82,352 ",1987,ENGINEER 3,1," 	82,352 ",1987,ENGINEER 3,1," 	82,352 ",1987,ENGINEER 3,1," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	83,175 ",1987,ENGINEER 3,1," 	83,175 ",1987,ENGINEER 3,1," 	83,175 ",1987,ENGINEER 3,1," 	83,175 ",1987,ENGINEER 3, 	1.00 ," 	85,878 ",1987,ENGINEER 3-18, 	1.00 ," 	85,878 ",1987,ENGINEER 3-18, 	1.00 ," 	85,878 "
3808,EQPT OPR 3, 	1.00 ,WATER," 	62,539 ",2043,EQPT OPR 3, 	1.00 ," 	55,649 ",2043,EQPT OPR 3,1.00," 	55,649 ",2043,EQPT OPR 3,1.00," 	58,570 ",2043,EQPT OPR 3,1," 	58,570 ",2043,EQPT OPR 3,1," 	59,741 ",2043,EQPT OPR 3,1," 	59,741 ",2043,EQPT OPR 3,1," 	59,741 ",2043,EQPT OPR 3,1," 	59,741 ",2043,EQPT OPR 3,1," 	59,741 ",2043,EQPT OPR 3,1," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	60,338 ",2043,EQPT OPR 3,1," 	60,338 ",2043,EQPT OPR 3,1," 	60,338 ",2043,EQPT OPR 3,1," 	60,338 ",2043,EQPT OPR 3, 	1.00 ," 	62,299 ",2043,EQPT OPR 3-16, 	1.00 ," 	62,299 ",2043,EQPT OPR 3-16, 	1.00 ," 	62,299 "
3812,STR MACH OPR 3, 	1.00 ,STREETS," 	54,624 ",5372,STR MACH OPR 1, 	1.00 ," 	45,810 ",5372,STR MACH OPR 1,1.00," 	45,810 ",5372,STR MACH OPR 1,1.00," 	47,410 ",5372,STR MACH OPR 1,1," 	47,410 ",5372,STR MACH OPR 1,1," 	48,358 ",5372,STR MACH OPR 1,1," 	48,358 ",5372,STR MACH OPR 1,1," 	48,358 ",5372,STR MACH OPR 1,1," 	48,358 ",5372,STR MACH OPR 1,1," 	48,358 ",5372,STR MACH OPR 1,1," 	48,842 ",5372,STR MACH OPR 1, 	1.00 ," 	48,842 ",5372,STR MACH OPR 1, 	1.00 ," 	48,842 ",5372,STR MACH OPR 1, 	1.00 ," 	48,842 ",5372,STR MACH OPR 1, 	1.00 ," 	48,842 ",5372,STR MACH OPR 1, 	1.00 ," 	52,702 ",5372,STR MACH OPR 1, 	1.00 ," 	52,702 ",5372,STR MACH OPR 1, 	1.00 ," 	52,702 ",5372,STR MACH OPR 1, 	1.00 ," 	52,702 ",5372,STR MACH OPR 1,1," 	52,702 ",5372,STR MACH OPR 1,1," 	52,702 ",5372,STR MACH OPR 1,1," 	52,702 ",5372,STR MACH OPR 1, 	1.00 ," 	54,415 ",5372,SMO 1-15, 	1.00 ," 	54,415 ",VACANT,VACANT,VACANT,VACANT
3814,STR MACH OPR 3, 	1.00 ,STREETS," 	58,336 ",2873,STR MACH OPR 1, 	1.00 ," 	54,137 ",2873,STR MACH OPR 1,1.00," 	54,137 ",2873,STR MACH OPR 1,1.00," 	54,137 ",2873,STR MACH OPR 1,1," 	54,137 ",2873,STR MACH OPR 1,1," 	55,220 ",2873,STR MACH OPR 1,1," 	55,220 ",2873,STR MACH OPR 1,1," 	55,220 ",2873,STR MACH OPR 1,1," 	55,220 ",2873,STR MACH OPR 1,1," 	55,220 ",2873,STR MACH OPR 1,1," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	55,772 ",2873,STR MACH OPR 1,1," 	55,772 ",2873,STR MACH OPR 1,1," 	55,772 ",2873,STR MACH OPR 1,1," 	55,772 ",2873,STR MACH OPR 1, 	1.00 ," 	57,584 ",2873,SMO 1-15, 	1.00 ," 	57,584 ",VACANT,VACANT,VACANT,VACANT
3815,ADMIN CLK 1, 	1.00 ,PARKS," 	53,086 ",6274,ADMIN CLK 1, 	1.00 ," 	46,665 ",6274,ADMIN CLK 1,1.00," 	46,665 ",6274,ADMIN CLK 1,1.00," 	46,665 ",6274,ADMIN CLK 1,1," 	46,665 ",6274,ADMIN CLK 1,1," 	47,598 ",6274,ADMIN CLK 1,1," 	47,598 ",6274,ADMIN CLK 1,1," 	47,598 ",6274,ADMIN CLK 1,1," 	47,598 ",6274,ADMIN CLK 1,1," 	47,598 ",6274,ADMIN CLK 1,1," 	48,075 ",6274,ADMIN CLK 1, 	1.00 ," 	48,075 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	49,726 ",6274,ADMIN CLK 1, 	1.00 ," 	51,218 ",6274,ADMIN CLK 1,1," 	51,218 ",6274,ADMIN CLK 1,1," 	51,218 ",6274,ADMIN CLK 1,1," 	51,218 ",6274,ADMIN CLK 1, 	1.00 ," 	52,882 ",6274,ADMIN CLK 1-20, 	1.00 ," 	52,882 ",6274,ADMIN CLK 1-20, 	1.00 ," 	52,882 "
3816,POLICE REPORT SUPV, 	1.00 ,POLICE," 	71,088 ",2474,POLICE REPORT SUPV, 	1.00 ," 	63,089 ",2474,POLICE REPORT SUPV,1.00," 	63,089 ",2474,POLICE REPORT SUPV,1.00," 	63,089 ",2474,POLICE REPORT SUPV,1," 	63,089 ",2474,POLICE REPORT SUPV,1," 	66,945 ",2474,POLICE REPORT SUPV,1," 	66,945 ",2474,POLICE REPORT SUPV,1," 	66,945 ",2474,POLICE REPORT SUPV,1," 	66,945 ",2474,POLICE REPORT SUPV,1," 	66,945 ",2474,POLICE REPORT SUPV,1," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	67,614 ",2474,POLICE REPORT SUPV,1," 	67,614 ",2474,POLICE REPORT SUPV,1," 	67,614 ",2474,POLICE REPORT SUPV,1," 	67,614 ",2474,POLICE REPORT SUPV, 	1.00 ," 	69,812 ",2474,POLICE REPORT SUPV-18, 	1.00 ," 	69,812 ",2474,POLICE REPORT SUPV-18, 	1.00 ," 	69,812 "
3817,TRANS OPERATOR, 	1.00 ,METRO TRAN," 	57,437 ",1045,TRANS OPERATOR, 	1.00 ," 	56,094 ",1045,TRANS OPERATOR,1.00," 	56,094 ",1045,TRANS OPERATOR,1.00," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	56,094 ",1045,TRANS OPERATOR,1," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	57,216 ",1045,TRANS OPERATOR,1," 	57,216 ",1045,TRANS OPERATOR,1," 	57,216 ",1045,TRANS OPERATOR,1," 	57,216 ",1045,TRANS OPERATOR, 	1.00 ," 	58,361 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
3818,TRANS OPERATOR, 	1.00 ,METRO TRAN," 	57,437 ",6365,TRANS OPERATOR, 	1.00 ," 	46,292 ",6365,TRANS OPERATOR,1.00," 	49,014 ",6365,TRANS OPERATOR,1.00," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,014 ",6365,TRANS OPERATOR,1," 	49,994 ",6365,TRANS OPERATOR, 	1.00 ," 	49,994 ",6365,TRANS OPERATOR, 	1.00 ," 	49,994 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR, 	1.00 ," 	55,550 ",6365,TRANS OPERATOR,1," 	57,216 ",6365,TRANS OPERATOR,1," 	57,216 ",6365,TRANS OPERATOR,1," 	57,216 ",6365,TRANS OPERATOR, 	1.00 ," 	58,361 ",6365,TRANS OPERATOR-41, 	1.00 ," 	58,361 ",6365,TRANS OPERATOR-41, 	1.00 ," 	58,361 "
