Incident,Date,Incident Type,Address,Time
"Engine 10 Puts Out Fire In Northport Apartment","05/05/2018","Structure","1900 Block Northport Drive, Madison, WI","2018-05-05T19:19:00-05:00"
"Stranded Boaters Get Helping Hand From MFD Lake Rescue Team","05/05/2018","Lake Rescue","Upper Mud Lake, Madison, WI 53716","2018-05-05T18:54:00-05:00"
"Madison Resident Comes Home to Find Fire in Garage","05/04/2018","Structure","1400 Block Nevada Road, Madison, WI","2018-05-04T18:54:00-05:00"
"One Injured After Vehicle Crashes Into East Side Restaurant","05/04/2018","Vehicle","S. Dickinson Street & Williamson Street, Madison, WI","2018-05-04T15:10:00-05:00"
"Smoking Materials Cause Staircase To Smolder","05/01/2018","Structure","900 Block E. Johnson Street, Madison, WI 53703","2018-05-01T15:37:00-05:00"
"Self-Cleaning Oven Causes Smoke Scare on Nakoosa Trail","05/01/2018","Smoke Scare","4300 Block Nakoosa Trail, Madison, WI","2018-05-01T15:25:00-05:00"
"Mulch Fire Caught Early Outside Sequoya Library","04/30/2018","Outdoor","4300 Block Tokay Blvd, Madison, WI","2018-04-30T09:39:00-05:00"
"Smoke Alarm Wakes Sleeping Occupant, Who Discovers Fire In Kitchen","04/28/2018","Cooking","200 Block N. Ingersoll Street, Madison, WI","2018-04-28T04:43:00-05:00"
"MFD Responds To String Of Outdoor Fires","04/27/2018","Outdoor","Madison, WI","2018-04-27T13:55:00-05:00"
"Fire Discovered, Extinguished At Downtown Restaurant","04/26/2018","Appliance","300 Block State Street, Madison, WI 53703","2018-04-26T23:07:00-05:00"
"Two-Vehicle Crash Results In Fire, Injury","04/25/2018","Vehicle","Commercial Avenue & Felland Road, Madison, WI","2018-04-25T18:05:00-05:00"
"Ladder 2 Responds To Dumpster Fire At Westgate Mall","04/24/2018","Trash/Rubbish","Westgate Mall, Madison, WI","2018-04-24T07:15:00-05:00"
"Flames From Grill On Balcony Send Firefighters To State Street","04/22/2018","Cooking","500 Block State Street, Madison, WI 53703","2018-04-22T11:53:00-05:00"
"Laundry Room Fire Under Investigation","04/20/2018","Structure","4700 Block Jenewein Road, Madison, WI","2018-04-20T21:18:00-05:00"
"Creosote Buildup Causes Small Chimney Fire","04/17/2018","Chimney","2700 Block Union Street, Madison, WI","2018-04-17T22:20:00-05:00"
"Elevator Reportedly Drops Two Floors, Injuring One","04/14/2018","Elevator","400 Block Frances Street, Madison, WI 53703","2018-04-14T17:42:00-05:00"
"Two Injured In Three-Car Crash","04/14/2018","Vehicle","John Nolen Drive & Rimrock Road, Madison, WI 53704","2018-04-14T17:19:00-05:00"
"2 Injured, 5 Displaced After Fire On Schroeder Road","04/14/2018","Structure","6700 Block Schroeder Road, Madison, WI 53711","2018-04-14T00:30:00-05:00"
"Clothes Catch Fire At Campus Dorm, Injuring One","04/08/2018","Cooking","1500 Block Tripp Circle, Madison, WI 53706","2018-04-08T17:25:00-05:00"
"Garage Fire Displaces Family","04/03/2018","Structure","6100 Block Dominion Dr, Madison, WI 53718","2018-04-03T18:54:00-05:00"
"Grilling On Balconies Poses Fire Danger And Risk To Residents","03/30/2018","Outdoor","East Side, Madison, WI","2018-03-30T20:02:00-05:00"
"Wayward Embers Ignite Grass Fire On West Side","03/30/2018","Outdoor","Shadow Ridge Trail, Madison, WI 53562","2018-03-30T10:40:00-05:00"
"Crews Tackle Large Mulch Fire In Town of Blooming Grove","03/28/2018","Outdoor","3500 Block Meier Road, Blooming Grove, WI 53718","2018-03-28T21:09:00-05:00"
"Semis Catch Fire Outside East-Side Bakery","03/26/2018","Vehicle","3400 Block East Washington Ave, Madison, WI 53704","2018-03-26T02:16:00-05:00"
"Fire Damages West-Side Home","03/25/2018","Structure","2300 Block Mica Road, Madison, WI","2018-03-25T16:18:00-05:00"
"Firefighters Douse Large Pile of Hot Wood Chips","03/24/2018","Smoke Scare","Highbury Road & Tally Ho Lane, Shorewood Hills, WI 53705","2018-03-24T19:45:00-05:00"
"Improperly Discarded Smoking Materials Causes $250,000 in Damage","03/21/2018","Structure","4500 Block Hamlet Place, Madison, WI","2018-03-21T09:38:00-05:00"
"Stove-Top Burner Ignites Grease Drippings","03/19/2018","Cooking","6700 Block Schroeder Road, Madison, WI 53719","2018-03-19T16:15:00-05:00"
"Crews Extinguish Several Small Brush and Grass Fires.","03/18/2018","Outdoor","5600 Block Fen Oak Drive, Madison, WI 53718","2018-03-18T11:40:00-05:00"
"Crews Respond to Early Morning Structure Fire","03/18/2018","Structure","4200 Block Doncaster Dr, Madison, WI 53711","2018-03-18T03:04:00-05:00"
"Worker Rescued From Confined Space At MGE Power Plant","03/15/2018","Special Rescue","700 Block E. Main Street, Madison, WI 53703","2018-03-15T10:00:00-05:00"
"Two Suffer Fire-Related Injuries On Commerce Drive","03/14/2018","Vehicle","400 Block Commerce Drive, Madison, WI 53719","2018-03-14T16:47:00-05:00"
"Man Injured After Grabbing Hot Utensil From Stovetop","03/12/2018","Excessive heat/scorch","100 Block S. Franklin Street, Madison, WI 53703","2018-03-12T02:58:00-05:00"
"Ladder 2 Responds to Water Leak At West Towne Mall","03/10/2018","Water Leak","West Towne Mall, Madison, WI","2018-03-10T16:52:00-06:00"
"Ten Rescued From Downtown Elevator","03/08/2018","Elevator","400 Block W. Gorham Street, Madison, WI 53703","2018-03-08T23:03:00-06:00"
"Wash Machine Malfunction Causes Water Leak In East Side Building","03/08/2018","Water Leak","700 Block N. Thompson Drive, Madison, WI","2018-03-08T19:04:00-06:00"
"Smoke Alarm Alerts Occupant To Fire Brewing In Kitchen","03/08/2018","Cooking","1800 Block Cameron Drive, Madison, WI","2018-03-08T01:48:00-06:00"
"Soldering Project Ignites Small Fire In Area Home","03/07/2018","Structure","4000 Block Chippewa Drive, Madison, WI","2018-03-07T15:07:00-06:00"
"All Residents Displaced After Fire In Apartment Building","03/05/2018","Structure","2900 Block Commercial Avenue, Madison, WI 53704","2018-03-05T04:44:00-06:00"
"Worker Rescued From Skid Loader Crashed in Trench","03/03/2018","Special Rescue","700 Block West Dayton Street, Madison, WI","2018-03-03T15:36:00-06:00"
"Fire Damages Eastside Businesses","02/25/2018","Structure","2000 Block Atwood Avenue, Madison, WI","2018-02-25T05:53:00-06:00"
"Engine 4 Responds To Small Electrical Fire","02/21/2018","Electrical","N. Allen Street, Madison, WI","2018-02-21T19:32:00-06:00"
"Natural Gas Smell Reported and Caught Early In East Side Residence","02/21/2018","Gas Leak","1300 Block Rutledge, Madison, WI","2018-02-21T17:59:00-06:00"
"Vehicle Fire Extinguished In Downtown Parking Ramp","02/20/2018","Vehicle","100 Block E. Main Street, Madison, WI 53703","2018-02-20T14:33:00-06:00"
"Man Extinguishes Vehicle Fire With Help From Local Restaurant","02/18/2018","Vehicle","300 Block W. Washington Ave, Madison, WI 53703","2018-02-18T14:39:00-06:00"
"Burnt Food Sends Firefighters To Downtown Apartment","02/18/2018","Cooking","200 Block N. Pinckney St, Madison, WI 53703","2018-02-18T02:36:00-06:00"
"Firefighters Respond To Steam Leak At Campus Bookstore","02/15/2018","Water Leak","700 Block State Street, Madison, WI 53706","2018-02-15T22:11:00-06:00"
"Car Starts On Fire While Out For Test Drive","02/15/2018","Vehicle","2600 Block Fish Hatchery Road, Madison, WI 53713","2018-02-15T13:48:00-06:00"
"Fire Crews Respond to Early Morning Vehicle Fires","02/15/2018","Vehicle","W. Main Street and S. Bedford Street, Madison, WI 53703","2018-02-15T05:10:00-06:00"
"Smoke Fills Downtown Apartment, Hallway; Burning Of Sandalwood To Blame","02/14/2018","Smoke Scare","600 Block W. Doty Street, Madison, WI 53703","2018-02-14T18:34:00-06:00"
"Broken Water Pipe Displaces One","02/11/2018","Water Leak","500 Block Northport Drive, Madison, WI","2018-02-11T03:10:00-06:00"
"Residential Fire on Southside","02/10/2018","Structure","4200 Block Sheffield Ave, Madison, WI 53711","2018-02-10T18:52:00-06:00"
"Engine 1 Called To Rescue Stranded Dog","02/10/2018","Animal rescue","100 Block N. Butler Street, Madison, WI 53703","2018-02-10T17:23:00-06:00"
"Firefighters Respond To Smoke Scare At East Side Apartment","02/09/2018","Smoke Scare","10 Block Dempsey Road, Madison, WI","2018-02-09T14:55:00-06:00"
"Firefighters Provide Scene Safety Following Gas Line Rupture","02/08/2018","Gas Leak","4800 Block Hermsmeier Lane, Madison, WI","2018-02-08T12:36:00-06:00"
"Alarm Investigation Reveals Fire In Downtown Kitchen","02/07/2018","Alarm Investigation","100 Block W. Gilman Street, Madison, WI 53703","2018-02-07T06:42:00-06:00"
"Man Dies Following Serious Crash On Sherman Avenue","02/06/2018","Vehicle","400 Block N. Sherman Ave, Madison, WI","2018-02-06T23:23:00-06:00"
"Leaky Pipe Leads Firefighters To Discover Disabled Fire Alarm System","02/06/2018","Water Leak","3000 Block Cimarron Trail, Madison, WI","2018-02-06T22:13:00-06:00"
"Four Displaced After Unattended Pot of Oil Catches Fire","02/04/2018","Cooking","100 Block Georgiana Circle, Madison, WI","2018-02-04T18:21:00-06:00"
"Burnt Plastic Smell Traced To Furnace Issue","02/03/2018","Smoke Scare","Golden Maple Road, Madison, WI","2018-02-03T00:42:00-06:00"
"Driver Pulls Over, Puts Out Vehicle Fire Using Borrowed Extinguisher","02/01/2018","Vehicle","1800 Block S. Stoughton Road, Madison, WI","2018-02-01T16:18:00-06:00"
"Fire Displaces Two From East Side Condo","02/01/2018","Structure","6300 Block Maywick Drive, Madison, WI 53719","2018-02-01T10:41:00-06:00"
"Occupants Detect Gas Leak In East Side Building","01/31/2018","Gas Leak","800 Block E. Johnson Street, Madison, WI 53703","2018-01-31T16:05:00-06:00"
"Station 2 Crew Revives Patient Suffering From Cardiac Arrest","01/27/2018","EMS","West Side, Madison, WI 53719","2018-01-27T12:02:00-06:00"
"Attic Fire Under Investigation","01/25/2018","Structure","Huron Hill, Madison, WI 53711","2018-01-25T20:53:00-06:00"
"Overheated Motor Kicks Up Smoke Inside Allied Drive Apartment","01/25/2018","Appliance","2300 Block Allied Drive, Madison, WI","2018-01-25T18:24:00-06:00"
"Mac and Cheese Burns While Occupant Sleeps","01/24/2018","Excessive heat/scorch","400 Block W. Main Street, Madison, WI 53703","2018-01-24T03:11:00-06:00"
"Greater Harm Averted Thanks To Neighbor Who Reported Active Smoke Alarm","01/24/2018","Structure","100 Block S. Hamilton, Madison, WI 53703","2018-01-24T01:20:00-06:00"
"Thick Smoke Coming From Oven Uncovers Brats, Plastic Left Behind","01/23/2018","Cooking","2100 Block Lake Point Drive, Madison, WI","2018-01-23T17:40:00-06:00"
"Nobody Injured In Crash That Damaged Two Garage Doors","01/23/2018","Vehicle","2200 Block University Ave, Madison, WI","2018-01-23T14:36:00-06:00"
"HVAC Malfunction Prompts Pre-School Evacuation","01/22/2018","Smoke Scare","6500 Block Schroeder Road, Madison, WI","2018-01-22T10:17:00-06:00"
"Vehicle Strikes Area Home, Causes Significant Damage","01/19/2018","Vehicle","8300 Block Blackwolf Drive, Madison, WI","2018-01-19T10:12:00-06:00"
"Beltline Bus Fire Accidental; Cause Still Unknown","01/18/2018","Vehicle","US Highway 12 Eastbound & Park Street, Madison, WI","2018-01-18T14:53:00-06:00"
"Eastbound Beltline Lanes Closed Near Park Street Exit Due To Bus Fire","01/18/2018","Vehicle","US Highway 12 Eastbound & Park Street, Madison, WI","2018-01-18T14:53:00-06:00"
"Owner Not Present, Driver Missing As Ladder 2 Puts Out Vehicle Fire","01/17/2018","Vehicle","S. Gammon Rd. & Seybold Rd, Madison, WI","2018-01-17T17:29:00-06:00"
"Firefighters Assist Woman Who Fell Shoveling The Sidewalk","01/16/2018","Assist Citizen","4400 Block Elgar Lane, Madison, WI","2018-01-16T13:36:00-06:00"
"Dryer Fire Displaces One","01/12/2018","Appliance","1900 Block Northport Drive, Madison, WI","2018-01-12T14:27:00-06:00"
"Fire Damages East Side Building; Cause Under Investigation","01/10/2018","Structure","4700 Block Helgesen Drive, Madison, WI","2018-01-10T19:43:00-06:00"
"Firefighters Respond To Small Chemical Spill On UW Campus","01/09/2018","Hazmat","1200 Block W. Dayton Street, Madison, WI 53706","2018-01-09T15:24:00-06:00"
"Grease Fire Causes Damage In Northside Kitchen","01/08/2018","Cooking","1400 Block Trailsway, Madison, WI","2018-01-08T16:47:00-06:00"
"Bystanders Alert Driver To Vehicle Fire And Help Put It Out","01/06/2018","Vehicle","Mohawk Drive & Nakoma Road, Madison, WI","2018-01-06T20:49:00-06:00"
"Car Crashes Through Garage Wall, Injuring One","01/06/2018","Vehicle","8500 Block Blackwolf Drive, Madison, WI","2018-01-06T19:34:00-06:00"
"Burned Cheese Believed To Be Cause of Smoke In West Side Apartment","01/05/2018","Cooking","1000 Block McKenna Blvd, Madison, WI 53719","2018-01-05T16:14:00-06:00"
"Cause Of Bread Basket Fire Unknown","01/04/2018","Structure","300 Block Lance Lane, Madison, WI 53703","2018-01-04T08:44:00-06:00"
"Homemade Meat Smoker Catches Fire, Damaging East Side Home","01/03/2018","Structure","5100 Block Starker Ave, Madison, WI 53703","2018-01-03T17:23:00-06:00"
"Crews Respond To Residential Water Leaks, Frozen Pipes","01/02/2018","Water Leak","Madison, WI","2018-01-02T01:53:00-06:00"
"Frozen Pipes Damage State Street Apartments and Business","01/01/2018","Water Leak","300 Block of State Street, Madison, WI 53703","2018-01-01T13:52:00-06:00"
"Neighbors Alert Homeowner To Fire Burning Outside","01/01/2018","Outdoor","2800 Block Commercial Ave, Madison, WI 53703","2018-01-01T05:11:00-06:00"
"Discarded Coals Start Outside Fire Between Two Homes","01/01/2018","Outdoor","University Ave. & Midvale Blvd, Madison, WI 53703","2018-01-01T01:07:00-06:00"
"Firefighters Reunite Locked-Out Grandma With Two-Year-Old Grandchild","12/28/2017","Lock out/Lock in","1800 Block Lynndale Rd, Madison, WI","2017-12-28T18:35:00-06:00"
"Frozen Pipes And Water Leaks Keep Fire Crews Busy","12/28/2017","Water Leak","Madison, WI","2017-12-28T04:07:00-06:00"
"Carbon Monoxide Alarm Sends Firefighters To West Side Condo","12/28/2017","Carbon Monoxide","6700 Block Park Edge Drive, Madison, WI 53711","2017-12-28T00:08:00-06:00"
"Eagle Mistaken For Stranded Dog On Lake Monona","12/27/2017","Animal rescue","10 Block John Nolen Drive, Madison, WI 53703","2017-12-27T07:43:00-06:00"
"Downtown Firefighters Discover Water Leak At State Street Business","12/27/2017","Water Leak","500 Block N. Frances Street, Madison, WI 53703","2017-12-27T03:11:00-06:00"
"Car Left Running Inside Garage Triggers Carbon Monoxide Alarm","12/26/2017","Carbon Monoxide","6800 Block Tottenham Road, Madison, WI","2017-12-26T19:06:00-06:00"
"Burst Pipe Sends Firefighters To Midland Street Residence","12/25/2017","Water Leak","800 Block Midland Street, Madison, WI","2017-12-25T20:44:00-06:00"
"Pressure Cooker Explodes, Causing Damage But No Injuries","12/23/2017","Cooking","1500 Block Troy Drive, Madison, WI","2017-12-23T19:52:00-06:00"
"Resident Escapes House Fire Without Injury","12/23/2017","Structure","1300 Block Dale Avenue, Madison, WI 53705","2017-12-23T14:30:00-06:00"
"Smoke Fills Westside Apartment; Burnt Food To Blame","12/22/2017","Cooking","4500 Block Hammersley Road, Madison, WI","2017-12-22T21:18:00-06:00"
"Furnace Malfunction Sends Firefighters To West Side Home","12/21/2017","Electrical","6000 Block Landfall Drive, Madison, WI 53715","2017-12-21T19:22:00-06:00"
"Crews Respond To Fire At West Side Construction Site","12/18/2017","Outdoor","400 Block Commerce Drive, Madison, WI 53719","2017-12-18T19:33:00-06:00"
"Smoke Fills Downtown Apartment As Occupant Sleeps; No Working Smoke Alarms Found In Unit","12/18/2017","Cooking","100 Block N. Orchard Street, Madison, WI 53703","2017-12-18T18:41:00-06:00"
"Fire 'Erupts,' Injuring Person Repairing Clothes Dryer","12/17/2017","Appliance","400 Block N. Westfield Road, Madison, WI","2017-12-17T23:04:00-06:00"
"Man Rescued From Monona Bay After Falling Through the Ice","12/14/2017","Lake Rescue","Monona Bay, Madison, WI 53715","2017-12-14T12:28:00-06:00"
"Overloaded Wash Machine Sends Firefighters To West Side Apartment Building","12/13/2017","Smoke Scare","2600 Block University Ave, Madison, WI 53703","2017-12-13T18:35:00-06:00"
"Attic Fire Displaces Three On West Side","12/13/2017","Structure","Goldenrod Lane, Madison, WI 53719","2017-12-13T11:33:00-06:00"
"Motor Overheats, Causing Smoke Scare In East Side Garage","12/13/2017","Smoke Scare","800 Block Williamson Street, Madison, WI 53703","2017-12-13T11:22:00-06:00"
"Crews Called To Hit-And-Run At East Side Business; Nobody Injured","12/11/2017","Vehicle","2100 Block Winnebago Street, Madison, WI 53715","2017-12-11T02:23:00-06:00"
"Oven Fire Sends Crews To North Side Home","12/10/2017","Structure","500 Block Dapin Road, Madison, WI 53714","2017-12-10T16:38:00-06:00"
"Firefighters Called To Downtown Apartment Building For Outdoor Fire","12/10/2017","Outdoor","500 Block East Main Street, Madison, WI 53703","2017-12-10T11:35:00-06:00"
"Single-Vehicle Crash Injures One","12/09/2017","Vehicle","Mineral Point Road, Madison, WI","2017-12-09T02:27:00-06:00"
"Fires Near North Star Park Under Investigation","12/08/2017","Outdoor","North Star Park, Madison, WI 53718","2017-12-08T16:00:00-06:00"
"Carbon Monoxide Leak Traced To Hidden Furnace","12/08/2017","Carbon Monoxide","East Bluff, Madison, WI 53703","2017-12-08T02:08:00-06:00"
"One Person Transported From Single-Vehicle Rollover Crash","12/07/2017","Vehicle","Sherman Avenue & Northport Drive, Madison, WI","2017-12-07T19:33:00-06:00"
"Cooking Fire Caught Early On East Side","12/06/2017","Cooking","700 Block Pulley Drive, Madison, WI","2017-12-06T21:30:00-06:00"
"Clothes Catch Fire at West Side Laundromat","12/05/2017","Excessive heat/scorch","2800 Block Todd Drive, Madison, WI","2017-12-05T12:58:00-06:00"
"Driver Extricated From Stolen Vehicle Following Crash","12/05/2017","Vehicle","S. Stoughton Road, Madison, WI 53719","2017-12-05T06:46:00-06:00"
"East Side Restaurant Temporarily Evacuated Due To Carbon Monoxide Leak","12/02/2017","Carbon Monoxide","900 Block Williamson Street, Madison, WI","2017-12-02T16:45:00-06:00"
"Dumpster Fires Threaten Downtown Construction Site","12/02/2017","Trash/Rubbish","200 Block W. Gilman Street, Madison, WI 53703","2017-12-02T11:31:00-06:00"
